Temperature,Visibility,Weather Condition
58,Dusk,Cloudy
49,Dark,Rain
20,Day,Snow
60,Dark,Clear
78,Day,Clear
68,Day,Clear
65,Day,Clear
78,Day,Clear
90,Dusk,Clear
38,Day,Clear
96,Day,Clear
62,Dawn,Clear
85,Day,Clear
93,Day,Clear
85,Dusk,Clear
95,Day,Clear
72,Dark,Cloudy
69,Dark,Clear
80,Day,Clear
75,Day,Clear
60,Dusk,Clear
62,Dawn,Clear
50,Dark,Clear
60,Day,Clear
60,Day,Clear
45,Dawn,Clear
47,Dark,Clear
72,Dark,Clear
34,Day,Snow
23,Dusk,Snow
37,Day,Cloudy
80,Dark,Clear
35,Day,Cloudy
42,Day,Cloudy
46,Day,Cloudy
57,Dawn,Clear
92,Day,Clear
75,Day,Clear
79,Day,Clear
35,Day,Clear
32,Dark,Fog
40,Day,Clear
41,Day,Cloudy
63,Day,Clear
52,Day,Clear
46,Day,Cloudy
52,Dark,Clear
30,Dark,Rain
55,Dark,Cloudy
55,Day,Rain
75,Dark,Clear
90,Day,Clear
45,Dark,Clear
56,Dark,Clear
40,Dark,Cloudy
55,Dark,Clear
27,Day,Clear
79,Dark,Clear
77,Day,Rain
72,Dark,Rain
75,Dark,Clear
73,Day,Clear
69,Dark,Cloudy
90,Day,Clear
84,Day,Clear
65,Dark,Clear
25,Day,Clear
23,Dark,Cloudy
40,Day,Clear
32,Dark,Rain
58,Day,Cloudy
40,Day,Cloudy
76,Day,Clear
60,Day,Cloudy
59,Dark,Cloudy
63,Dusk,Clear
65,Day,Clear
69,Day,Clear
56,Dark,Clear
59,Dark,Cloudy
58,Day,Clear
46,Dawn,Clear
60,Day,Clear
62,Day,Clear
38,Day,Clear
55,Day,Clear
80,Day,Clear
70,Day,Clear
55,Day,Clear
32,Dark,Cloudy
37,Day,Cloudy
40,Dusk,Clear
39,Dark,Clear
60,Dusk,Cloudy
81,Day,Clear
85,Dark,Rain
92,Day,Clear
70,Day,Rain
42,Dark,Cloudy
45,Day,Clear
72,Dark,Clear
20,Dark,Clear
26,Day,Cloudy
80,Dusk,Clear
81,Dawn,Clear
80,Dark,Clear
50,Day,Clear
84,Dusk,Cloudy
73,Dark,Clear
70,Dark,Clear
81,Day,Clear
55,Dawn,Clear
50,Dark,Clear
78,Dawn,Clear
87,Day,Clear
74,Day,Clear
60,Dark,Rain
61,Day,Clear
63,Dawn,Clear
100,Dusk,Clear
92,Day,Clear
86,Day,Clear
64,Dark,Clear
55,Dark,Clear
70,Dark,Clear
65,Dark,Clear
83,Day,Clear
90,Day,Clear
89,Day,Clear
70,Dusk,Clear
46,Dark,Clear
76,Day,Clear
68,Dark,Clear
59,Dark,Cloudy
71,Day,Clear
76,Day,Clear
62,Dusk,Clear
60,Dusk,Cloudy
69,Day,Rain
23,Dawn,Cloudy
61,Dusk,Clear
37,Dark,Clear
55,Dark,Clear
68,Day,Cloudy
63,Day,Rain
70,Dark,Clear
80,Day,Clear
80,Day,Clear
80,Day,Clear
70,Day,Clear
84,Day,Clear
79,Dark,Clear
78,Day,Clear
90,Day,Clear
52,Day,Clear
66,Day,Clear
57,Day,Rain
58,Day,Cloudy
55,Dusk,Clear
45,Dark,Clear
56,Day,Clear
59,Dark,Clear
91,Dark,Clear
62,Day,Clear
70,Day,Clear
72,Day,Clear
